交易证券,交收日期,摘要,发生金额,成交数量,成交价格,资金余额,货币代码,委托日期,结算汇率,年度,证券代码,证券名称,融资账户
天坛生物  600161,20070508,证券买入,-45883.03,1400,32.7,0,人民币,20070508,-,2007,600161,天坛生物  ,
钢钒GFC1  031002,20070508,证券卖出,46480.35,7400,6.289,0,人民币,20070508,-,2007,31002,钢钒GFC1  ,
钢钒GFC1  031002,20070508,证券买入,-46816.71,7400,6.319,0,人民币,20070508,-,2007,31002,钢钒GFC1  ,
振华Ｂ股  900947,20070508,Tn证券卖出,3054.23,1900,1.612,5960.63,美元,20070508,-,2007,900947,振华Ｂ股  ,
-  -,20070508,资金冻结,2906.4,0,0,0,美元,0,-,2007,  -,-,
-  -,20070508,资金冻结,46854.26,0,0,0,人民币,0,-,2007,  -,-,
天坛生物  600161,20070509,证券买入,-89000.14,3000,29.6,0,人民币,20070509,-,2007,600161,天坛生物  ,
航天通信  600677,20070509,证券卖出,264857.68,13000,20.42,0,人民币,20070509,-,2007,600677,航天通信  ,
航天通信  600677,20070509,证券卖出,99723.11,5000,19.99,0,人民币,20070509,-,2007,600677,航天通信  ,
航天通信  600677,20070510,证券买入,-99274.89,5000,19.81,0,人民币,20070510,-,2007,600677,航天通信  ,
雅戈QCB1  580006,20070510,证券卖出,17.1,1,22.101,0,人民币,20070510,-,2007,580006,雅戈QCB1  ,
天坛生物  600161,20070510,证券买入,-91706.13,3000,30.5,0,人民币,20070510,-,2007,600161,天坛生物  ,
振华Ｂ股  900947,20070510,Tn证券卖出,3625.82,2000,1.818,3625.82,美元,20070510,-,2007,900947,振华Ｂ股  ,
-  -,20070510,资金冻结,99257.79,0,0,0,人民币,0,-,2007,  -,-,
-  -,20070510,资金冻结,91706.63,0,0,0,人民币,0,-,2007,  -,-,
航天通信  600677,20070511,证券买入,-83738.78,4300,19.43,0,人民币,20070511,-,2007,600677,航天通信  ,
振华Ｂ股  900947,20070511,Tn证券卖出,7459.07,4000,1.87,11364.11,美元,20070511,-,2007,900947,振华Ｂ股  ,
振华Ｂ股  900947,20070511,Tn证券卖出,3905.04,2000,1.958,3905.04,美元,20070511,-,2007,900947,振华Ｂ股  ,
-  -,20070511,资金冻结,85074.84,0,0,0,人民币,0,-,2007,  -,-,
-  -,20070514,资金冻结,7998.62,0,0,0,美元,0,-,2007,  -,-,
-  -,20070514,资金冻结,3844.72,0,0,0,美元,0,-,2007,  -,-,
-  -,20070514,资金冻结,5974.67,0,0,0,美元,0,-,2007,  -,-,
-  -,20070515,资金冻结,92.7,0,0,0,美元,0,-,2007,  -,-,
-  -,20070516,资金冻结,136.08,0,0,0,美元,0,-,2007,  -,-,
-  -,20070516,资金冻结,18.26,0,0,0,美元,0,-,2007,  -,-,
陆家Ｂ股  900932,20070516,Tn证券买入,-7998.62,3100,2.573,-11696.52,美元,20070516,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070516,Tn证券买入,-3852.24,1500,2.561,-3697.9,美元,20070516,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070516,Tn证券买入,-5966.64,2500,2.38,-17663.16,美元,20070516,-,2007,900932,陆家Ｂ股  ,
天坛生物  600161,20070516,证券卖出,100752.42,3400,29.7,0,人民币,20070516,-,2007,600161,天坛生物  ,
天坛生物  600161,20070516,证券卖出,60243.96,2000,30.19,0,人民币,20070516,-,2007,600161,天坛生物  ,
宝商集团  000796,20070516,证券买入,-92204.25,10000,9.2,0,人民币,20070516,-,2007,796,宝商集团  ,
航天通信  600677,20070516,证券卖出,29728.55,1300,22.92,0,人民币,20070516,-,2007,600677,航天通信  ,
天坛生物  600161,20070517,证券买入,-63915,2020,31.57,0,人民币,20070517,-,2007,600161,天坛生物  ,
陆家Ｂ股  900932,20070517,Tn证券卖出,2917.81,1100,2.66,-77.52,美元,20070517,-,2007,900932,陆家Ｂ股  ,
航天通信  600677,20070517,证券买入,-34743.46,1500,23.11,0,人民币,20070517,-,2007,600677,航天通信  ,
陆家Ｂ股  900932,20070517,Tn证券买入,-2548.11,1000,2.541,430.23,美元,20070517,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070517,Tn证券买入,-3425.56,1400,2.44,-2995.33,美元,20070517,-,2007,900932,陆家Ｂ股  ,
-  -,20070517,资金冻结,601.15,0,0,0,人民币,0,-,2007,  -,-,
陆家Ｂ股  900932,20070517,Tn证券卖出,2772.32,1000,2.78,2772.32,美元,20070517,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070517,Tn证券卖出,2781.2,1000,2.789,5553.52,美元,20070517,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070517,Tn证券买入,-2575.18,1000,2.568,2978.34,美元,20070517,-,2007,900932,陆家Ｂ股  ,
-  -,20070517,资金冻结,98087.87,0,0,0,人民币,0,-,2007,  -,-,
抚顺特钢  600399,20070518,证券买入,-64632.05,4900,13.16,0,人民币,20070518,-,2007,600399,抚顺特钢  ,
天坛生物  600161,20070518,证券卖出,65512.23,2000,32.83,0,人民币,20070518,-,2007,600161,天坛生物  ,
抚顺特钢  600399,20070518,证券买入,-79915.2,6200,12.86,0,人民币,20070518,-,2007,600399,抚顺特钢  ,
天坛生物  600161,20070518,证券卖出,98477.88,3000,32.9,0,人民币,20070518,-,2007,600161,天坛生物  ,
抚顺特钢  600399,20070518,证券买入,-8945.8,700,12.75,0,人民币,20070518,-,2007,600399,抚顺特钢  ,
抚顺特钢  600399,20070518,证券买入,-10279.77,800,12.82,0,人民币,20070518,-,2007,600399,抚顺特钢  ,
抚顺特钢  600399,20070518,证券买入,-147993.49,11700,12.62,0,人民币,20070518,-,2007,600399,抚顺特钢  ,
天坛生物  600161,20070518,证券卖出,196711.25,6020,32.75,0,人民币,20070518,-,2007,600161,天坛生物  ,
抚顺特钢  600399,20070518,证券买入,-128815.51,10200,12.6,0,人民币,20070518,-,2007,600399,抚顺特钢  ,
陆家Ｂ股  900932,20070518,Tn证券卖出,5861.15,2400,2.449,38.87,美元,20070518,-,2007,900932,陆家Ｂ股  ,
航天通信  600677,20070518,证券卖出,79409.81,3500,22.74,0,人民币,20070518,-,2007,600677,航天通信  ,
陆家Ｂ股  900932,20070518,Tn证券买入,-5884.42,2400,2.445,-5822.28,美元,20070518,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070518,Tn证券卖出,3137.2,1300,2.42,62.14,美元,20070518,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070518,Tn证券卖出,2898.27,1200,2.422,-3075.06,美元,20070518,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070518,Tn证券买入,-5936.56,2500,2.368,-5973.33,美元,20070518,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070518,Tn证券卖出,5978.22,2500,2.398,-36.77,美元,20070518,-,2007,900932,陆家Ｂ股  ,
陆家Ｂ股  900932,20070518,Tn证券买入,-6014.99,2600,2.307,-6014.99,美元,20070518,-,2007,900932,陆家Ｂ股  ,
-  -,20070518,资金冻结,49.64,0,0,0,人民币,0,-,2007,  -,-,
-  -,20070518,资金冻结,613.97,0,0,0,人民币,0,-,2007,  -,-,
-  -,20070518,资金冻结,688.44,0,0,0,人民币,0,-,2007,  -,-,
抚顺特钢  600399,20070521,证券买入,-92583.16,7100,13.01,0,人民币,20070521,-,2007,600399,抚顺特钢  ,
宝商集团  000796,20070521,证券卖出,92793.53,10000,9.3,0,人民币,20070521,-,2007,796,宝商集团  ,
-  -,20070521,资金冻结,6518.69,0,0,0,美元,0,-,2007,  -,-,
