交易证券,交收日期,摘要,发生金额,成交数量,成交价格,资金余额,货币代码,委托日期,结算汇率
-  -,20240930,港股通组合费,-3.83,0,0.0000,4819.63,人民币,0,0.00000000
伊利股份  600887,20241008,证券卖出,571631.52,20000,28.6000,576451.15,人民币,20241008,0.00000000
五 粮 液  000858,20241008,证券卖出,1135951.34,7000,162.3830,1712402.49,人民币,20241008,0.00000000
-  -,20241008,港股通组合费,-11.13,0,0.0000,1712391.36,人民币,0,0.00000000
伊利股份  600887,20241009,红利税补扣,-1200.00,10000,0.0000,1711191.36,人民币,20241009,0.00000000
伊利股份  600887,20241009,红利税补扣,-1200.00,10000,0.0000,1709991.36,人民币,20241009,0.00000000
五 粮 液  000858,20241009,红利税补扣,-3269.00,7000,0.0000,1706722.36,人民币,20241009,0.00000000
中概互联  513050,20241009,证券买入,-1139264.59,868900,1.3110,567457.77,人民币,20241009,0.00000000
-  -,20241009,港股通组合费,-1.34,0,0.0000,567456.43,人民币,0,0.00000000
-  -,20241010,港股通组合费,-1.32,0,0.0000,567455.11,人民币,0,0.00000000
-  -,20241014,港股通组合费,-5.28,0,0.0000,11140.21,人民币,0,0.00000000
金山软件  03888,20241014,港股通股票买入,-556309.62,20600,26.9730,11145.49,人民币,20241009,0.90817000
-  -,20241015,港股通组合费,-1.41,0,0.0000,11138.80,人民币,0,0.00000000
-  -,20241016,港股通组合费,-1.35,0,0.0000,11137.45,人民币,0,0.00000000
港股科技  513010,20241017,证券买入,-618074.16,1000000,0.6180,-606936.71,人民币,20241017,0.00000000
港股科技  513010,20241017,证券买入,-309037.08,500000,0.6180,-915973.79,人民币,20241017,0.00000000
中概互联  513050,20241017,证券买入,-704955.18,572600,1.2310,-1620928.97,人民币,20241017,0.00000000
美团－Ｗ  03690,20241017,港股通股票卖出,776397.11,5000,155.4690,-844531.86,人民币,20241015,0.91184000
快手－Ｗ  01024,20241017,港股通股票卖出,1593840.85,37000,43.1300,749308.99,人民币,20241015,0.91184000
快手－Ｗ  01024,20241017,港股通股票卖出,1595524.39,37000,43.1760,2344833.38,人民币,20241015,0.91184000
金山软件  03888,20241017,港股通股票卖出,497155.95,20600,24.1640,2841989.33,人民币,20241015,0.91184000
-  -,20241017,港股通组合费,-1.32,0,0.0000,2841988.01,人民币,0,0.00000000
