交易证券,交收日期,摘要,发生金额,成交数量,成交价格,资金余额,货币代码,委托日期,结算汇率,融资账户
天坛生物  600161,2007-05-08,证券买入,-45883.03,1400,32.7,0.0,人民币,20070508,-,
钢钒GFC1  031002,2007-05-08,证券卖出,46480.35,7400,6.289,0.0,人民币,20070508,-,
钢钒GFC1  031002,2007-05-08,证券买入,-46816.71,7400,6.319,0.0,人民币,20070508,-,
振华Ｂ股  900947,2007-05-08,Tn证券卖出,3054.23,1900,1.612,5960.63,美元,20070508,-,
-  -,2007-05-08,资金冻结,2906.4,0,0.0,0.0,美元,0,-,
-  -,2007-05-08,资金冻结,46854.26,0,0.0,0.0,人民币,0,-,
天坛生物  600161,2007-05-09,证券买入,-89000.14,3000,29.6,0.0,人民币,20070509,-,
航天通信  600677,2007-05-09,证券卖出,264857.68,13000,20.42,0.0,人民币,20070509,-,
航天通信  600677,2007-05-09,证券卖出,99723.11,5000,19.99,0.0,人民币,20070509,-,
航天通信  600677,2007-05-10,证券买入,-99274.89,5000,19.81,0.0,人民币,20070510,-,
雅戈QCB1  580006,2007-05-10,证券卖出,17.1,1,22.101,0.0,人民币,20070510,-,
天坛生物  600161,2007-05-10,证券买入,-91706.13,3000,30.5,0.0,人民币,20070510,-,
振华Ｂ股  900947,2007-05-10,Tn证券卖出,3625.82,2000,1.818,3625.82,美元,20070510,-,
-  -,2007-05-10,资金冻结,99257.79,0,0.0,0.0,人民币,0,-,
-  -,2007-05-10,资金冻结,91706.63,0,0.0,0.0,人民币,0,-,
航天通信  600677,2007-05-11,证券买入,-83738.78,4300,19.43,0.0,人民币,20070511,-,
振华Ｂ股  900947,2007-05-11,Tn证券卖出,7459.07,4000,1.87,11364.11,美元,20070511,-,
振华Ｂ股  900947,2007-05-11,Tn证券卖出,3905.04,2000,1.958,3905.04,美元,20070511,-,
-  -,2007-05-11,资金冻结,85074.84,0,0.0,0.0,人民币,0,-,
-  -,2007-05-14,资金冻结,7998.62,0,0.0,0.0,美元,0,-,
-  -,2007-05-14,资金冻结,3844.72,0,0.0,0.0,美元,0,-,
-  -,2007-05-14,资金冻结,5974.67,0,0.0,0.0,美元,0,-,
-  -,2007-05-15,资金冻结,92.7,0,0.0,0.0,美元,0,-,
-  -,2007-05-16,资金冻结,136.08,0,0.0,0.0,美元,0,-,
-  -,2007-05-16,资金冻结,18.26,0,0.0,0.0,美元,0,-,
陆家Ｂ股  900932,2007-05-16,Tn证券买入,-7998.62,3100,2.573,-11696.52,美元,20070516,-,
陆家Ｂ股  900932,2007-05-16,Tn证券买入,-3852.24,1500,2.561,-3697.9,美元,20070516,-,
陆家Ｂ股  900932,2007-05-16,Tn证券买入,-5966.64,2500,2.38,-17663.16,美元,20070516,-,
天坛生物  600161,2007-05-16,证券卖出,100752.42,3400,29.7,0.0,人民币,20070516,-,
天坛生物  600161,2007-05-16,证券卖出,60243.96,2000,30.19,0.0,人民币,20070516,-,
宝商集团  000796,2007-05-16,证券买入,-92204.25,10000,9.2,0.0,人民币,20070516,-,
航天通信  600677,2007-05-16,证券卖出,29728.55,1300,22.92,0.0,人民币,20070516,-,
天坛生物  600161,2007-05-17,证券买入,-63915.0,2020,31.57,0.0,人民币,20070517,-,
陆家Ｂ股  900932,2007-05-17,Tn证券卖出,2917.81,1100,2.66,-77.52,美元,20070517,-,
航天通信  600677,2007-05-17,证券买入,-34743.46,1500,23.11,0.0,人民币,20070517,-,
陆家Ｂ股  900932,2007-05-17,Tn证券买入,-2548.11,1000,2.541,430.23,美元,20070517,-,
陆家Ｂ股  900932,2007-05-17,Tn证券买入,-3425.56,1400,2.44,-2995.33,美元,20070517,-,
