month_start,window_N,window_M,ic_score,is_optimal
2020-01-02,10,100,-0.20186345616214665,0
2020-01-02,15,100,-0.14921743471231386,0
2020-01-02,20,100,-0.017868393492275165,0
2020-01-02,25,100,-0.016727781400438995,0
2020-01-02,30,100,0.06732220479921647,0
2020-01-02,35,100,-0.002994307035552917,0
2020-01-02,40,100,0.0848996806484249,0
2020-01-02,45,100,0.07193533443678532,0
2020-01-02,50,100,-0.06544276217019145,0
2020-01-02,55,100,-0.04128072299532604,0
2020-01-02,60,100,-0.1236988872570546,0
2020-01-02,10,150,-0.20982679757468434,0
2020-01-02,15,150,-0.11822883772707396,0
2020-01-02,20,150,0.00032975728674713284,0
2020-01-02,25,150,-0.000633063411962524,0
2020-01-02,30,150,0.0812216539700971,0
2020-01-02,35,150,0.014011939431934168,0
2020-01-02,40,150,0.0973720308006515,0
2020-01-02,45,150,0.10743240196474124,0
2020-01-02,50,150,0.0007433689026662991,0
2020-01-02,55,150,0.041200372223108586,0
2020-01-02,60,150,-0.02354516129441293,0
2020-01-02,10,200,-0.2142939309721014,0
2020-01-02,15,200,-0.11766909108917911,0
2020-01-02,20,200,0.005054210884481037,0
2020-01-02,25,200,0.009408712535438393,0
2020-01-02,30,200,0.0889532257266716,0
2020-01-02,35,200,0.018262674667884154,0
2020-01-02,40,200,0.10124102398667444,0
2020-01-02,45,200,0.10960396218842984,1
2020-01-02,50,200,0.0016909869518841258,0
2020-01-02,55,200,0.04453636192023941,0
2020-01-02,60,200,-0.01702864643843991,0
2020-02-01,10,100,-0.030441034464429164,0
2020-02-01,15,100,0.019570905566969055,0
2020-02-01,20,100,0.06194211061222563,0
2020-02-01,25,100,0.0716975074548734,0
2020-02-01,30,100,0.07702971062106093,0
2020-02-01,35,100,0.00020690782007140213,0
2020-02-01,40,100,-0.0006095915891140756,0
2020-02-01,45,100,0.040382049058214395,0
2020-02-01,50,100,-0.04415071772991464,0
2020-02-01,55,100,-0.044264239062375595,0
2020-02-01,60,100,-0.10440239467971259,0
2020-02-01,10,150,-0.033411306992592746,0
2020-02-01,15,150,0.07159069176281262,0
2020-02-01,20,150,0.08203679859379394,0
2020-02-01,25,150,0.0795845366004268,0
2020-02-01,30,150,0.06770816084333649,0
2020-02-01,35,150,-0.015026048463639346,0
2020-02-01,40,150,-0.017509297742985524,0
2020-02-01,45,150,0.02974998163252382,0
2020-02-01,50,150,-0.052202803931028795,0
2020-02-01,55,150,-0.0464694734762384,0
2020-02-01,60,150,-0.11025946985328249,0
2020-02-01,10,200,-0.037940346243222456,0
2020-02-01,15,200,0.06932356243958772,0
2020-02-01,20,200,0.08316507502781623,1
2020-02-01,25,200,0.07754060900879234,0
2020-02-01,30,200,0.05709325511306911,0
2020-02-01,35,200,-0.02873749945696418,0
2020-02-01,40,200,-0.031510136826734134,0
2020-02-01,45,200,0.0010946855892177156,0
2020-02-01,50,200,-0.07168790966873573,0
2020-02-01,55,200,-0.06731117657323056,0
2020-02-01,60,200,-0.12040463174933894,0
2020-03-01,10,100,0.17310587838398317,0
2020-03-01,15,100,0.19678546906284247,0
2020-03-01,20,100,0.17897749280067013,0
2020-03-01,25,100,0.0389893728948127,0
2020-03-01,30,100,0.017672124806959667,0
2020-03-01,35,100,-0.10616574556831852,0
2020-03-01,40,100,-0.09244333463473688,0
2020-03-01,45,100,-0.05569299021459603,0
2020-03-01,50,100,-0.061175912663954224,0
